id,id1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
21,289,6.37486E+18,1.23767E+18,20.42982674,20.00735092,19.93950272,19.90904236,19.63111496,0.08601895,0.067025386,0.04636785,0.034456283,0.025629142,20.50198364,22.02193451,1,0.690256476,0.072156906,0.494632721,0.562480927,0.592941284,0.870868683,0.422475815,0.49032402,0.520784378,0.798711777,0.067848206,0.098308563,0.376235962,0.030460358,0.308387756,0.277927399,-1.519950867,-1.592107773,-2.014583588,-2.082431793,-2.112892151,-2.39081955,1
22,290,6.37486E+18,1.23767E+18,21.12784386,20.42362785,20.24590302,20.26733017,20.06581116,0.085496165,0.066618033,0.046086047,0.034246869,0.02547338,20.92112541,21.36782265,1,0.900834322,-0.206718445,0.497497559,0.675222397,0.653795242,0.855314255,0.704216003,0.881940842,0.860513687,1.0620327,0.177724838,0.156297684,0.357816696,-0.021427155,0.180091858,0.201519012,-0.446697235,-0.23997879,-0.944194794,-1.121919632,-1.100492477,-1.30201149,1
23,311,6.37489E+18,1.23767E+18,22.4244709,21.30285454,21.06627464,21.10530853,20.67620659,0.063530952,0.049502891,0.034245871,0.02544835,0.018928898,22.51388931,22.13118362,0,2.83E-05,0.089418411,1.211034775,1.44761467,1.40858078,1.837682724,1.121616364,1.358196259,1.319162369,1.748264313,0.236579895,0.197546005,0.626647949,-0.03903389,0.390068054,0.429101944,0.382705688,0.293287277,-0.828329086,-1.064908981,-1.025875092,-1.454977036,1
24,325,2.48529E+18,1.23767E+18,22.23424149,21.56154442,21.41188622,21.46736336,20.74100876,0.115669996,0.090129279,0.062351014,0.046333488,0.034463603,22.69752693,23.4236145,1,0.805016398,0.463285446,1.135982513,1.285640717,1.230163574,1.956518173,0.672697067,0.82235527,0.766878128,1.493232727,0.149658203,0.094181061,0.82053566,-0.055477142,0.670877457,0.726354599,-0.72608757,-1.189373016,-1.862070084,-2.011728287,-1.956251144,-2.682605743,1
25,394,6.37841E+18,1.23767E+18,20.78037071,20.20489502,19.96796227,19.83061028,19.6503067,0.144902989,0.112907432,0.07810884,0.058043238,0.043173503,21.14500427,21.47928047,1,0.768956065,0.36463356,0.940109253,1.177042007,1.314393997,1.494697571,0.575475693,0.812408447,0.949760437,1.130064011,0.236932755,0.374284744,0.554588318,0.13735199,0.317655563,0.180303574,-0.334276199,-0.69890976,-1.274385452,-1.511318207,-1.648670197,-1.82897377,1
26,415,6.38787E+18,1.23767E+18,20.13203239,20.1504631,20.33198738,20.5026207,20.966362,0.109446071,0.085279636,0.058996059,0.043840393,0.032609198,20.69935608,21.57388115,1,5.859938622,0.567323685,0.548892975,0.367368698,0.196735382,-0.26700592,-0.01843071,-0.199954987,-0.370588303,-0.834329605,-0.181524277,-0.352157593,-0.815898895,-0.170633316,-0.634374619,-0.463741302,-0.87452507,-1.441848755,-1.423418045,-1.241893768,-1.071260452,-0.60751915,0
27,425,6.38787E+18,1.23767E+18,20.44570732,20.15683746,19.94450378,19.66643906,19.73287582,0.075714275,0.058996048,0.040813193,0.030328577,0.022558888,20.45185852,21.24102592,1,0.598662674,0.006151199,0.295021057,0.507354736,0.785419464,0.718982697,0.288869858,0.501203537,0.779268265,0.712831497,0.212333679,0.490398407,0.423961639,0.278064728,0.21162796,-0.066436768,-0.789167404,-0.795318604,-1.084188461,-1.296522141,-1.574586868,-1.508150101,1
28,437,6.37482E+18,1.23767E+18,21.0454731,20.68121529,20.48264885,20.62459946,20.68600464,0.091436632,0.07124681,0.04928821,0.036626425,0.027243329,21.15035248,21.55058861,1,0.956574798,0.104879379,0.469137192,0.667703629,0.525753021,0.464347839,0.364257813,0.562824249,0.420873642,0.35946846,0.198566437,0.056615829,-0.004789352,-0.141950607,-0.203355789,-0.061405182,-0.40023613,-0.505115509,-0.869373322,-1.067939758,-0.925989151,-0.864583969,1
29,445,6.37482E+18,1.23767E+18,20.55822372,20.48959541,20.24707222,20.20731544,20.14178085,0.078785941,0.061389472,0.042468954,0.031558983,0.023474086,21.18291664,21.79042625,1,1.259437084,0.624692917,0.693321228,0.935844421,0.975601196,1.041135788,0.068628311,0.311151505,0.350908279,0.416442871,0.242523193,0.282279968,0.34781456,0.039756775,0.105291367,0.065534592,-0.607509613,-1.23220253,-1.300830841,-1.543354034,-1.583110809,-1.648645401,1
30,464,6.37482E+18,1.23767E+18,20.23235321,19.87397003,19.89019775,19.71661758,19.46226501,0.098454036,0.076714717,0.053070884,0.039437354,0.029334147,20.10908508,21.03826141,1,0.656323016,-0.123268127,0.235115051,0.218887329,0.392467499,0.646820068,0.358383179,0.342155457,0.515735626,0.770088196,-0.016227722,0.157352448,0.411705017,0.17358017,0.427932739,0.25435257,-0.929176331,-0.805908203,-1.164291382,-1.14806366,-1.321643829,-1.575996399,1
