id,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
21,3.06E+18,1.24E+18,21.98465347,22.28031921,21.83784676,22.10422897,22.80464935,0.049498279,0.038568724,0.026681665,0.019827336,0.014747895,22.65166855,23.50798607,1,1.403689861,0.667015076,0.371349335,0.813821793,0.547439575,-0.152980804,-0.295665741,0.146806717,-0.1195755,-0.81999588,0.442472458,0.17609024,-0.524330139,-0.266382217,-0.966802597,-0.70042038,-0.85631752,-1.523332596,-1.227666855,-1.670139313,-1.403757095,-0.703336716,0
22,3.06E+18,1.24E+18,21.32669067,20.99379921,20.38332748,20.07370758,19.92226219,0.043749642,0.034089424,0.023582906,0.017524626,0.013035103,22.49337196,22.69947243,1,1.267386675,1.16668129,1.499572754,2.110044479,2.419664383,2.571109772,0.332891464,0.94336319,1.252983093,1.404428482,0.610471725,0.920091629,1.071537018,0.309619904,0.461065292,0.151445389,-0.206100464,-1.372781754,-1.705673218,-2.316144943,-2.625764847,-2.777210236,1
23,3.06E+18,1.24E+18,22.1345768,21.25513458,21.22459412,21.07054901,21.0809803,0.080741145,0.062912956,0.043522891,0.032342169,0.024056634,23.29377174,23.27199364,0,-0.000504489,1.159194946,2.038637161,2.069177628,2.223222733,2.212791443,0.879442215,0.909982681,1.064027786,1.053596497,0.030540466,0.184585571,0.174154282,0.154045105,0.143613815,-0.01043129,0.021778107,-1.13741684,-2.016859055,-2.047399521,-2.201444626,-2.191013336,1
24,3.06E+18,1.24E+18,21.48791313,21.26145172,20.79482269,20.81080055,20.75968361,0.077088706,0.060066994,0.041554071,0.030879127,0.022968397,22.31442642,23.04206848,1,1.310411096,0.82651329,1.052974701,1.519603729,1.50362587,1.554742813,0.226461411,0.693090439,0.677112579,0.728229523,0.466629028,0.450651169,0.501768112,-0.015977859,0.035139084,0.051116943,-0.727642059,-1.55415535,-1.78061676,-2.247245789,-2.231267929,-2.282384872,1
25,3.06E+18,1.24E+18,21.2113266,20.82633018,20.68051147,20.71328163,20.33265877,0.050892036,0.039654732,0.02743296,0.020385629,0.015163163,20.5467186,21.36726952,1,0.875526786,-0.664608002,-0.279611588,-0.133792877,-0.166563034,0.21405983,0.384996414,0.530815125,0.498044968,0.878667831,0.14581871,0.113048553,0.493671417,-0.032770157,0.347852707,0.380622864,-0.820550919,-0.155942917,-0.540939331,-0.686758041,-0.653987885,-1.034610748,1
26,3.06E+18,1.24E+18,21.8687973,21.11325836,20.1849823,19.4994278,19.16681099,0.111942329,0.087224707,0.060341649,0.04484031,0.033352952,22.59374046,23.68029976,1,0.544798791,0.724943161,1.480482101,2.408758163,3.094312668,3.426929474,0.75553894,1.683815002,2.369369507,2.701986313,0.928276062,1.613830566,1.946447372,0.685554504,1.01817131,0.332616806,-1.086559296,-1.811502457,-2.567041397,-3.495317459,-4.180871964,-4.51348877,1
27,3.06E+18,1.24E+18,21.55482101,21.12049484,21.01628113,21.03360176,20.47665215,0.101847515,0.079358898,0.054900117,0.040796671,0.030345228,23.11947823,23.80862236,1,2.539306879,1.564657211,1.998983383,2.103197098,2.085876465,2.64282608,0.434326172,0.538539886,0.521219254,1.078168869,0.104213715,0.086893082,0.643842697,-0.017320633,0.539628983,0.556949615,-0.689144135,-2.253801346,-2.688127518,-2.792341232,-2.775020599,-3.331970215,1
28,3.07E+18,1.24E+18,21.749403,21.94235611,21.65805435,21.44726372,21.50075531,0.066955395,0.052171193,0.03609179,0.026820067,0.019949203,22.42268562,23.72563171,1,1.157444477,0.673282623,0.480329514,0.764631271,0.975421906,0.921930313,-0.19295311,0.091348648,0.302139282,0.24864769,0.284301758,0.495092392,0.4416008,0.210790634,0.157299042,-0.053491592,-1.302946091,-1.976228714,-1.783275604,-2.067577362,-2.278367996,-2.224876404,1
29,3.07E+18,1.24E+18,21.45733452,20.80965805,20.74666977,20.70964241,20.5927639,0.055968095,0.043609958,0.030169168,0.022418926,0.016675562,23.29690552,23.11084366,1,2.248677492,1.839570999,2.487247467,2.550235748,2.587263107,2.704141617,0.647676468,0.710664749,0.747692108,0.864570618,0.062988281,0.10001564,0.21689415,0.037027359,0.153905869,0.11687851,0.186061859,-1.65350914,-2.301185608,-2.364173889,-2.401201248,-2.518079758,1
30,3.07E+18,1.24E+18,21.45733452,20.80965805,20.74666977,20.70964241,20.5927639,0.055968095,0.043609958,0.030169168,0.022418926,0.016675562,23.29690552,23.11084366,1,2.248584747,1.839570999,2.487247467,2.550235748,2.587263107,2.704141617,0.647676468,0.710664749,0.747692108,0.864570618,0.062988281,0.10001564,0.21689415,0.037027359,0.153905869,0.11687851,0.186061859,-1.65350914,-2.301185608,-2.364173889,-2.401201248,-2.518079758,1
31,3.07E+18,1.24E+18,21.45733452,20.80965805,20.74666977,20.70964241,20.5927639,0.055968095,0.043609958,0.030169168,0.022418926,0.016675562,23.29690552,23.11084366,1,2.248677492,1.839570999,2.487247467,2.550235748,2.587263107,2.704141617,0.647676468,0.710664749,0.747692108,0.864570618,0.062988281,0.10001564,0.21689415,0.037027359,0.153905869,0.11687851,0.186061859,-1.65350914,-2.301185608,-2.364173889,-2.401201248,-2.518079758,1
32,3.07E+18,1.24E+18,21.45733452,20.80965805,20.74666977,20.70964241,20.5927639,0.055968095,0.043609958,0.030169168,0.022418926,0.016675562,23.29690552,23.11084366,1,2.248584747,1.839570999,2.487247467,2.550235748,2.587263107,2.704141617,0.647676468,0.710664749,0.747692108,0.864570618,0.062988281,0.10001564,0.21689415,0.037027359,0.153905869,0.11687851,0.186061859,-1.65350914,-2.301185608,-2.364173889,-2.401201248,-2.518079758,1
33,3.07E+18,1.24E+18,22.12131119,21.87513542,21.62606049,21.39966774,21.21384048,0.08190199,0.063817479,0.044148635,0.032807168,0.024402507,23.28997993,23.80831718,1,2.048672676,1.168668747,1.414844513,1.663919449,1.890312195,2.07613945,0.246175766,0.495250702,0.721643448,0.907470703,0.249074936,0.475467682,0.661294937,0.226392746,0.412220001,0.185827255,-0.51833725,-1.687005997,-1.933181763,-2.182256699,-2.408649445,-2.5944767,1
34,3.08E+18,1.24E+18,21.87143898,20.38669205,19.45019722,18.95406342,18.7595005,0.105295151,0.082045265,0.056758538,0.042177677,0.031372443,23.57378006,23.07027435,1,0.176124543,1.70234108,3.187088013,4.12358284,4.619716644,4.814279556,1.484746933,2.42124176,2.917375565,3.111938477,0.936494827,1.432628632,1.627191544,0.496133804,0.690696716,0.194562912,0.503505707,-1.198835373,-2.683582306,-3.620077133,-4.116210938,-4.310773849,1
35,3.13E+18,1.24E+18,22.16118813,21.80306244,21.60155106,21.55796623,21.50914574,0.071360283,0.055603445,0.038466208,0.028584514,0.021261627,23.27207756,23.75282097,1,2.541427135,1.110889435,1.469015121,1.670526505,1.714111328,1.762931824,0.358125687,0.55963707,0.603221893,0.652042389,0.201511383,0.245096207,0.293916702,0.043584824,0.092405319,0.048820496,-0.480743408,-1.591632843,-1.94975853,-2.151269913,-2.194854736,-2.243675232,1
36,3.13E+18,1.24E+18,21.00056076,20.3329258,19.86169624,19.33344269,18.99573708,0.072714292,0.056658484,0.039196078,0.029126884,0.021665052,23.04950523,23.30855751,1,1.747086406,2.048944473,2.716579437,3.18780899,3.716062546,4.053768158,0.667634964,1.138864517,1.667118073,2.004823685,0.471229553,0.999483109,1.337188721,0.528253555,0.865959167,0.337705612,-0.259052277,-2.30799675,-2.975631714,-3.446861267,-3.975114822,-4.312820435,1
37,3.15E+18,1.24E+18,23.27753639,20.72294807,19.28769302,18.78993034,18.39704895,0.059368014,0.046259154,0.032001868,0.023780817,0.017688559,22.86695671,22.79998016,1,0.357332528,-0.410579681,2.144008636,3.579263687,4.077026367,4.469907761,2.554588318,3.989843369,4.487606049,4.880487442,1.435255051,1.933017731,2.325899124,0.49776268,0.890644073,0.392881393,0.066976547,0.477556229,-2.077032089,-3.51228714,-4.01004982,-4.402931213,1
38,3.15E+18,1.24E+18,20.02793694,19.58205032,19.68647385,19.65649986,19.63731575,0.038279671,0.029827259,0.020634361,0.015333541,0.011405338,22.864645,22.94547081,1,2.358788967,2.836708069,3.282594681,3.178171158,3.208145142,3.227329254,0.445886612,0.341463089,0.371437073,0.390621185,-0.104423523,-0.074449539,-0.055265427,0.029973984,0.049158096,0.019184113,-0.080825806,-2.917533875,-3.363420486,-3.258996964,-3.288970947,-3.30815506,1
